Version,Path,Line,Text
Python-3.12.4,"Include/cpython/dictobject.h",57,"buffer over-read"
Python-3.12.4,"Include/object.h",220,"dereference of NULL 'ob'"
Python-3.12.4,"Include/object.h",220,"dereference of NULL 'item'"
Python-3.12.4,"Include/object.h",220,"dereference of NULL 'op'"
Python-3.12.4,"Include/object.h",220,"dereference of NULL 'self'"
Python-3.12.4,"Include/object.h",220,"dereference of NULL 'obj'"
Python-3.12.4,"Include/object.h",220,"dereference of NULL '0'"
Python-3.12.4,"Include/object.h",282,"dereference of NULL 'list'"
Python-3.12.4,"Include/object.h",220,"dereference of NULL 'so'"
Python-3.12.4,"Modules/_blake2/impl/blake2b-ref.c",272,"use of uninitialized value 'v[4]'"
Python-3.12.4,"Modules/_blake2/impl/blake2s-ref.c",264,"use of uninitialized value 'v[4]'"
Python-3.12.4,"Modules/_ctypes/callbacks.c",231,"use of uninitialized value 'space'"
Python-3.12.4,"Modules/_ctypes/cfield.c",125,"dereference of NULL '0'"
Python-3.12.4,"Modules/_cursesmodule.c",1107,"use of uninitialized value 'ch[7]'"
Python-3.12.4,"Modules/_cursesmodule.c",3352,"dereference of NULL 'winobj'"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",365,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",377,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",369,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",373,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",363,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",367,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",371,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",372,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",361,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",355,"array subscript 0 is outside array bounds of 'char[0]'"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",360,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",358,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",362,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",368,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",374,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",359,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",366,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",370,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",356,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/io.c",357,"writing 1 byte into a region of size 0"
Python-3.12.4,"Modules/_decimal/libmpdec/transpose.c",205,"use of uninitialized value 'from'"
Python-3.12.4,"Modules/_decimal/libmpdec/transpose.c",224,"use of uninitialized value 'from'"
Python-3.12.4,"Modules/_hacl/Hacl_Hash_MD5.c",1422,"dereference of possibly-NULL 'p'"
Python-3.12.4,"Modules/_hacl/Hacl_Hash_MD5.c",47,"dereference of possibly-NULL 'block_state'"
Python-3.12.4,"Modules/_hacl/Hacl_Hash_MD5.c",1174,"dereference of possibly-NULL 'p'"
Python-3.12.4,"Modules/_hacl/Hacl_Hash_MD5.c",1415,"use of possibly-NULL 'buf' where non-null expected"
Python-3.12.4,"Modules/_hacl/Hacl_Hash_MD5.c",47,"dereference of possibly-NULL 's'"
Python-3.12.4,"Modules/_hacl/Hacl_Hash_MD5.c",1417,"dereference of possibly-NULL 'block_state'"
Python-3.12.4,"Modules/_hacl/Hacl_Hash_SHA1.c",448,"use of possibly-NULL 'buf' where non-null expected"
Python-3.12.4,"Modules/_hacl/Hacl_Hash_SHA1.c",455,"dereference of possibly-NULL 'p'"
Python-3.12.4,"Modules/_hacl/Hacl_Hash_SHA1.c",450,"use of possibly-NULL 'block_state' where non-null expected"
Python-3.12.4,"Modules/_hacl/Hacl_Hash_SHA2.c",205,"dereference of possibly-NULL 'hash'"
Python-3.12.4,"Modules/_hacl/Hacl_Hash_SHA2.c",455,"dereference of possibly-NULL 'p'"
Python-3.12.4,"Modules/_hacl/Hacl_Hash_SHA2.c",32,"dereference of possibly-NULL 'block_state'"
Python-3.12.4,"Modules/_hacl/Hacl_Hash_SHA2.c",1180,"dereference of possibly-NULL 'p'"
Python-3.12.4,"Modules/_hacl/Hacl_Hash_SHA2.c",768,"dereference of possibly-NULL 'p'"
