Platform,BaseImage,Compiler,CompilerOption,SanLinksMethod,ClangHWasanAdditionalOption,LDPreloadMode,PythonVersion,BuildOption,script_name,Result
arm64,fedora,gcc,hwasan,shared,none,enabled,3.12.4,debug,build_001.sh,Configure. Segmentation fault
arm64,fedora,gcc,hwasan,shared,none,enabled,3.12.4,default,build_002.sh,Configure. Segmentation fault
arm64,fedora,gcc,hwasan,shared,none,enabled,3.12.4,release,build_003.sh,Configure. Segmentation fault
arm64,fedora,gcc,hwasan,shared,none,disabled,3.12.4,debug,build_004.sh,Tests. Failed
arm64,fedora,gcc,hwasan,shared,none,disabled,3.12.4,default,build_005.sh,Tests. Segmentation fault
arm64,fedora,gcc,hwasan,shared,none,disabled,3.12.4,release,build_006.sh,Tests. Segmentation fault
arm64,fedora,gcc,hwasan,static,none,enabled,3.12.4,debug,build_007.sh,Configure. Segmentation fault
arm64,fedora,gcc,hwasan,static,none,enabled,3.12.4,default,build_008.sh,Configure. Segmentation fault
arm64,fedora,gcc,hwasan,static,none,enabled,3.12.4,release,build_009.sh,Configure. Segmentation fault
arm64,fedora,gcc,hwasan,static,none,disabled,3.12.4,debug,build_010.sh,Configure. Failed
arm64,fedora,gcc,hwasan,static,none,disabled,3.12.4,default,build_011.sh,Configure. Failed
arm64,fedora,gcc,hwasan,static,none,disabled,3.12.4,release,build_012.sh,Configure. Failed
arm64,fedora,clang,hwasan,shared,none,enabled,3.12.4,debug,build_013.sh,Compilation. Failed
arm64,fedora,clang,hwasan,shared,-mllvm -hwasan-globals=0,enabled,3.12.4,debug,build_014.sh,Compilation. Failed
arm64,fedora,clang,hwasan,shared,none,enabled,3.12.4,default,build_015.sh,Compilation. Failed
arm64,fedora,clang,hwasan,shared,-mllvm -hwasan-globals=0,enabled,3.12.4,default,build_016.sh,Tests. Failed
arm64,fedora,clang,hwasan,shared,none,enabled,3.12.4,release,build_017.sh,Compilation. Failed
arm64,fedora,clang,hwasan,shared,-mllvm -hwasan-globals=0,enabled,3.12.4,release,build_018.sh,Tests. Segmentation fault
arm64,fedora,clang,hwasan,shared,none,disabled,3.12.4,debug,build_019.sh,Configure. Failed
arm64,fedora,clang,hwasan,shared,-mllvm -hwasan-globals=0,disabled,3.12.4,debug,build_020.sh,Configure. Failed
arm64,fedora,clang,hwasan,shared,none,disabled,3.12.4,default,build_021.sh,Configure. Failed
